YEAR	JANU	FEBR	MARC	APRI	MAY 	JUNE	JULY	AUGU	SEPT	OCTO	NOVE	DECE	YEAR
1926	0072	0045	0084	0097	0044	0004	0057	0044	0057	0097	0057	0056	0737
1927	0056	0069	0083	0055	-0011	0043	0003	0083	0149	0055	0068	0068	0744
1928	0027	0068	0041	0014	-0078	-0024	-0010	0083	0030	0083	-0036	0084	0284
1929	0043	0030	-0087	0019	0045	-0046	0020	0020	0034	0073	-0018	0192	0327
1930	0059	0072	0138	0084	0057	0110	0056	0136	0108	0054	-0012	-0090	0798
1931	0203	0068	0094	0067	0134	0052	0052	0012	-0014	-0363	-0189	-0286	-0185
1932	-0052	-0238	0356	-0176	0107	-0009	0043	0436	0301	0074	0073	0139	1082
1933	0547	-0523	0047	-0095	0588	0190	0161	0093	-0014	0040	-0248	0257	1038
1934	0257	0146	0187	0104	0090	0158	0047	0047	-0061	0102	0129	0101	1384
1935	0211	0141	0043	0112	0042	0112	0111	-0042	0000	0042	0069	0083	0961
1936	0082	0054	0082	0026	0040	0082	0011	0067	0067	0025	0109	0010	0674
1937	0024	-0046	-0114	0068	0040	0053	0039	-0017	0025	0067	0067	0067	0275
1938	0038	0010	-0087	0138	0010	0095	0066	-0019	0109	0080	0037	0122	0613
1939	0022	0064	0022	0064	0049	0035	-0007	-0392	0151	0237	0079	0078	0397
1940	0049	0021	0049	-0092	-0021	0121	0021	0007	0092	0049	0063	-0023	0339
1941	0006	0006	-0022	0078	0049	0063	0063	0034	0048	0034	-0094	0006	0273
1942	0006	-0008	0063	0006	0020	0034	0020	0035	0020	0006	0006	0049	0260
1943	0049	0006	0020	0049	0048	0048	0019	0019	0005	-0009	-0023	0049	0283
1944	0020	0034	0048	0034	0005	0020	0034	0034	0019	0019	0048	0149	0473
1945	0076	0046	0018	0018	-0011	0032	-0011	0004	0032	0032	0032	0133	0408
1946	0128	0034	0034	-0043	0019	0019	-0012	-0088	-0026	0020	-0025	0113	0172
1947	0005	0005	0067	0020	0020	0004	0020	-0071	-0131	-0099	-0098	0024	-0234
1948	0024	0039	0115	0038	0008	-0083	-0052	0055	0024	0024	0085	0131	0414
1949	0038	0038	0007	0023	0038	0084	0099	0037	0021	0067	0021	-0145	0331
1950	0037	0007	0022	-0008	-0008	0023	0069	0038	-0039	-0008	0054	0023	0212
1951	0019	-0044	-0237	-0009	-0015	-0093	0205	0114	-0057	-0145	-0061	0058	-0269
1952	0199	-0085	0076	-0004	0031	0016	0016	0063	-0018	0039	0108	-0091	0352
1953	-0080	-0040	-0033	-0248	-0030	0109	0177	-0085	0253	0227	-0073	0172	0341
1954	0124	0198	0039	-0034	-0042	0063	0040	0018	0040	0040	0025	0017	0539
1955	-0097	-0063	0092	-0001	-0018	0029	-0041	-0038	0076	0078	-0030	0063	0048
1956	0104	0026	-0146	-0115	0052	-0018	-0093	-0208	0012	-0105	-0126	-0082	-0681
1957	0197	0093	0050	-0066	-0075	-0322	-0110	-0009	0095	0023	0311	0685	0871
1958	0099	-0008	-0046	0163	0031	-0038	-0153	-0320	-0096	0107	0105	-0058	-0222
1959	-0028	0126	-0083	-0172	-0114	0044	0089	-0068	-0088	0165	0135	-0096	-0097
1960	0107	0128	0191	-0022	-0021	0141	0257	0117	-0063	0008	-0070	0104	0907
1961	0148	0210	-0029	-0116	0049	-0080	0040	-0018	0144	0127	0028	-0026	0482
1962	0080	0052	0151	0142	0000	-0026	-0015	0143	0089	0068	0062	0023	0795
1963	0059	0023	0026	-0051	0048	0043	0028	0035	-0023	0049	0015	-0034	0219
1964	0087	0054	-0062	0040	0057	0048	0052	0037	0021	0050	-0004	0088	0477
1965	0081	0009	0012	0021	-0008	0003	0019	-0006	-0015	0046	-0057	-0149	-0046
1966	0022	-0113	-0059	0013	-0026	0030	-0098	-0259	0078	0261	-0020	0201	0020
1967	0450	-0201	0117	-0071	-0254	-0223	0041	-0007	0094	-0281	-0272	0127	-0495
1968	0361	0037	-0197	0048	0032	0122	0341	0206	-0053	-0160	-0226	-0233	0257
1969	0139	-0160	-0200	0335	-0227	0035	0005	-0020	-0244	0127	-0471	-0134	-0809
1970	0141	0401	-0045	-0250	-0163	0001	0556	0100	0139	-0096	0584	0372	1837
1971	0532	-0366	0258	-0236	-0161	0107	-0025	0554	-0102	0282	0029	0223	1101
1972	-0033	0107	0024	0035	0163	-0068	0030	0072	0031	0101	0249	-0004	0726
1973	-0054	0023	0045	0061	-0039	-0056	-0476	0356	0356	-0066	0078	-0089	0114
1974	-0053	0009	-0307	-0341	0105	-0285	-0211	-0268	0174	0885	0117	-0075	-0306
1975	0596	0137	-0247	-0052	0106	0304	-0030	-0175	-0126	0553	-0088	0442	1464
1976	0188	0061	0167	-0015	-0103	0150	0149	0231	0167	0070	0319	0347	1865
1977	-0303	-0020	0094	0100	0106	0175	-0005	0136	-0022	-0038	0061	-0105	0171
1978	-0089	0051	0042	-0023	-0108	0023	0101	0257	-0048	-0205	0134	-0133	-0007
1979	0184	-0128	0107	-0052	0228	0269	-0031	0006	-0179	-0890	0222	-0108	-0418
1980	-0645	-0665	-0062	1376	0560	0341	-0429	-0445	-0237	-0159	0017	0248	-0276
1981	-0130	-0269	0311	-0769	0595	0023	-0372	-0345	-0199	0521	1267	-0580	-0124
1982	-0129	0312	0306	0338	0245	-0468	0540	0837	0623	0759	0201	0108	4256
1983	-0094	0428	0072	0548	-0324	-0046	-0455	0051	0392	-0025	0142	-0033	0626
1984	0270	-0172	-0235	-0073	-0483	0199	0586	0307	0314	0572	0212	0128	1686
1985	0325	-0373	0179	0296	0820	0083	-0121	0260	0071	0329	0370	0469	3009
1986	0045	0752	0256	0016	-0164	0218	0031	0275	-0114	0189	0233	0117	1985
1987	0216	0058	-0087	-0502	-0052	0155	-0119	-0075	-0422	0507	0125	0212	-0027
1988	0517	0138	-0188	-0149	-0057	0379	-0111	0054	0326	0273	-0169	0039	1070
1989	0202	-0129	0064	0213	0379	0395	0178	-0163	0040	0276	0070	0006	1623
1990	-0191	-0012	-0011	-0191	0385	0216	0102	-0292	0091	0132	0285	0167	0678
1991	0150	0121	0108	0138	0039	-0018	0167	0275	0271	0043	0106	0436	1989
1992	-0173	0096	-0073	0016	0254	0156	0308	0090	0099	-0156	0069	0228	0939
1993	0250	0256	0025	0052	0020	0293	0100	0287	0043	0051	-0188	0067	1319
1994	0202	-0286	-0383	-0097	-0062	-0081	0309	-0031	-0265	-0050	0018	0157	-0576
1995	0256	0289	0095	0175	0631	0079	-0101	0214	0153	0185	0242	0228	2720
